ＩＤ,基本的にすべての人に親切にするように心がけている,物事を時間通りに終わらせるようにペースを作るのがかなり得意だ,人と話をするのはとても楽しい,私は心配性ではない,空想にふけって時間を無駄に使うのは嫌だ,他人と競争するよりはむしろ協力したい,私はあまり几帳面ではない,私はあまり陽気ではない,緊張したりびくびくしたりすることが多い,環境に応じて変化する、自分の気分や気持ちには気が付かない,苦手な人に対しては、つい態度に出てしまうことがある,急いでやらなければいけないことがあるのに先延ばしにしてしまうことがある,私は生活のテンポが早い,自分の力ではできないことを、誰か他の人に解決してほしいと思うことがある,私は好奇心が旺盛である,私は情に流されない,自分の目標を達成するためには努力を惜しまない,リーダーになるよりは、我が道を行きたい,悲しくなったり、落ち込んだりすることはない,理論的なことや抽象的な考えにふけって楽しむことがよくある
m899394243,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
m8998979451,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
m8994655201,4,3,3,4,2,2,3,2,3,2,4,2,3,2,2,2,2,3,2,2
m8998462749,3,3,4,4,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3
m8966489390,2,4,3,5,4,1,4,3,1,3,4,5,4,3,3,5,1,2,5,3
m8962277730,2,3,1,4,4,2,2,4,3,2,2,1,2,2,3,4,2,2,2,2
m8998670325,3,3,2,5,3,2,2,2,2,2,2,3,3,3,2,4,3,2,4,4
m8992556139,5,5,5,5,5,5,1,1,1,5,1,1,5,5,5,5,5,1,5,1
m8998578138,3,3,3,4,3,3,4,4,4,3,2,3,4,4,2,3,3,2,3,4
m8998403255,3,4,3,2,3,3,2,2,3,3,3,3,3,3,4,3,3,2,4,4
m899800018,2,3,1,1,4,1,3,4,4,4,5,1,3,2,3,4,4,2,4,3
m8995468311,1,2,2,3,2,2,1,3,2,2,3,1,2,3,1,2,3,2,2,3
m8984317608,3,4,5,5,5,1,1,1,2,3,2,2,4,3,3,5,3,2,5,2
m899528652,4,4,3,3,4,2,3,3,3,3,3,2,4,2,3,3,3,1,4,3
m8993010110,1,1,1,2,1,1,4,4,4,4,2,4,2,2,1,2,1,2,4,4
m8998334593,5,3,5,3,3,5,2,2,4,3,3,3,4,4,3,3,3,2,3,5
m899472153,2,2,4,4,2,3,2,2,2,3,2,3,2,2,4,3,3,2,2,2
m899698983,3,1,3,5,2,3,4,2,2,4,2,4,3,3,2,3,3,3,5,3
m899253002,2,4,3,2,4,2,2,3,4,4,2,2,4,3,2,4,3,2,3,2
m8988239527,1,1,2,2,1,2,3,5,5,4,5,4,2,2,1,3,1,2,2,2
m8984041221,3,4,4,4,4,2,3,3,3,3,2,2,4,2,2,4,3,2,4,4
m8981701176,2,3,3,3,2,3,3,3,3,2,3,2,3,3,2,2,3,3,3,3
m8982076562,3,3,4,3,2,3,3,3,4,2,2,3,3,3,3,4,3,3,2,3
m8998740993,1,3,2,2,3,3,4,4,4,4,4,3,3,4,2,4,3,3,2,3
m8998929309,3,2,2,4,3,2,2,3,2,2,2,3,3,2,3,3,2,2,3,3
m8998883334,3,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,4
m8998945286,1,2,1,3,3,2,2,3,4,3,2,3,4,3,2,3,1,4,2,4
m8982862470,3,2,5,4,3,2,3,3,2,3,3,3,3,3,4,3,4,2,4,3
m8998271400,1,1,1,3,1,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2
m8996464589,3,3,4,3,3,3,3,2,4,2,3,3,4,3,3,3,4,2,4,3
m8997107,3,2,5,5,1,2,2,1,1,3,2,2,4,2,4,3,3,2,4,3
m8998722375,3,4,3,2,4,3,2,3,3,3,2,2,3,3,2,4,2,3,3,2
m899875217,1,2,2,2,3,1,4,4,4,4,3,4,2,2,3,4,2,3,3,3
m8982135027,3,2,2,3,3,4,4,4,3,3,4,3,3,2,4,4,4,3,3,2
m89920150,5,3,5,2,3,5,1,1,5,3,1,2,3,5,5,2,4,1,3,3
m899302891,2,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
m8982807038,5,2,4,4,2,3,4,2,3,3,2,3,3,2,3,4,3,2,4,3
m899787006,3,2,3,4,3,2,3,3,3,4,2,1,3,3,1,2,4,2,3,2
m8998395145,4,3,4,4,3,3,4,3,2,4,1,2,3,2,1,4,3,2,4,3
m8998684053,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3
m899462600,2,3,1,2,3,2,4,4,4,3,3,4,3,3,3,4,2,2,4,4
m899774793,3,1,5,5,5,2,4,2,1,1,1,5,4,2,4,2,3,3,5,2
m8998310443,3,4,2,2,4,3,1,4,5,4,3,2,2,2,1,2,3,1,3,4
m8994887354,1,3,2,4,4,2,2,4,4,4,3,2,3,2,2,4,3,2,4,2
m8994652789,2,1,2,5,5,3,5,5,3,4,2,3,2,3,1,3,1,1,4,1
m8986821769,2,3,2,4,3,2,2,3,3,3,2,2,3,3,3,4,3,3,4,3
m8998241600,2,2,2,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3
m8995590124,3,3,4,3,3,3,3,3,3,3,3,2,4,3,4,3,4,3,3,3
m8988238994,2,2,2,3,3,2,3,3,3,3,3,3,2,3,1,2,3,3,3,3
m8964502459,1,2,1,2,3,2,4,5,5,5,4,5,3,4,1,3,1,3,4,3
m8994496116,2,3,3,3,3,3,3,3,3,2,2,4,3,3,3,3,3,3,4,3
m8998930875,1,3,2,2,3,2,3,5,4,4,3,2,3,2,1,3,3,3,3,3
m8994059676,1,2,2,2,1,1,4,4,4,2,2,1,1,1,2,1,2,2,1,1
m8992556211,3,3,3,4,4,3,4,1,3,4,3,3,4,1,2,2,2,1,3,1
m8982602233,2,2,2,4,4,3,2,4,3,2,2,3,3,3,3,5,1,2,2,2
m899329681,4,4,4,5,4,4,4,2,2,4,1,2,3,2,3,3,4,1,5,4
m8996528309,4,4,4,4,4,3,2,2,3,3,2,4,3,3,2,2,3,4,3,4
m899872708,2,3,3,3,4,3,3,3,4,3,2,2,4,3,3,3,3,2,4,3
m8991821423,1,1,1,3,4,1,1,3,3,4,3,2,2,2,1,3,2,1,3,1
m8988238638,5,5,5,2,5,5,5,4,4,3,3,3,3,3,3,3,3,3,3,4
m899408071,2,2,3,3,3,2,4,3,4,3,3,3,4,3,3,3,2,3,3,3
m8962742832,3,3,3,2,2,2,2,2,2,4,3,3,4,3,1,2,2,2,2,2
m8998880166,4,4,4,5,1,3,4,1,2,2,2,1,4,4,4,3,3,2,4,3
m8998570455,2,3,2,2,3,1,2,3,3,2,2,2,5,1,5,4,4,1,2,5
m8998578209,2,3,1,5,3,3,3,5,3,3,3,5,3,3,3,5,3,3,5,3
m899055970,3,2,1,3,2,1,3,4,3,2,3,4,2,2,1,3,2,2,3,3
m89904695,5,5,5,1,1,3,1,1,5,3,3,3,4,4,3,3,3,5,5,5
m8991686425,2,2,4,2,5,2,2,4,2,4,2,1,4,1,2,5,4,1,5,1
m8998576974,2,2,5,1,2,3,3,2,5,3,4,2,3,4,3,2,4,1,1,3
m8998246654,4,2,3,3,4,3,2,2,3,4,2,2,4,3,3,3,4,1,4,1
m8998743136,1,2,3,4,4,1,4,4,3,4,5,3,3,2,2,2,3,2,4,3
m8998760855,3,4,4,5,4,3,1,1,2,1,1,1,4,2,3,4,4,2,4,2
m899035837,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3
m8998246403,1,3,2,3,4,1,3,3,3,3,4,3,2,3,3,4,2,3,4,2
m899209011,3,3,3,4,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3
m8998809439,2,3,3,3,2,3,2,3,4,3,4,2,4,3,4,4,4,4,4,3
m8995566624,1,1,2,2,2,2,2,2,2,2,4,3,1,4,3,3,4,2,4,2
m8998670663,1,3,2,3,3,2,4,3,3,4,4,3,3,2,2,3,3,2,3,3
m8982053375,4,4,2,4,4,1,3,3,3,3,1,1,5,5,3,4,3,2,4,4
m8998424736,1,2,2,5,4,1,4,3,2,3,2,2,3,2,1,4,2,1,2,1
m8998459419,3,2,2,3,2,3,5,3,4,3,4,2,4,3,4,4,2,4,4,3
m8998275228,3,2,3,4,1,3,5,4,3,3,2,1,1,2,3,2,3,2,3,4
m899661198,2,3,2,3,3,2,3,4,3,3,2,2,4,2,2,4,2,2,3,3
m8998553184,1,1,1,1,3,3,4,4,5,3,4,4,3,3,2,3,2,4,2,4
m8998795505,3,4,3,4,3,3,4,3,3,3,3,3,4,2,2,3,2,2,3,3
m899829445,3,3,3,5,5,3,3,3,3,3,3,3,4,3,5,5,3,3,3,2
m8985208760,3,2,2,4,3,2,4,3,2,3,3,4,3,2,2,3,2,1,4,3
m899261107,2,2,2,2,3,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2
m8965527933,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3
m8994532743,2,3,2,4,3,1,4,3,3,3,2,4,4,2,4,3,3,3,4,3
m8992650188,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3
m8984567138,3,3,1,1,2,2,3,2,2,2,4,2,2,4,3,3,3,2,2,2
m899438462,2,2,3,2,1,2,1,2,2,1,2,2,1,2,2,3,2,2,1,2
m899794070,2,3,2,2,3,2,4,5,1,2,4,2,3,4,2,2,2,3,2,3
m899126935,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3
m8992839503,1,1,1,2,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1
m8988361741,2,5,2,2,4,3,3,5,4,4,3,2,3,2,2,4,4,4,3,4
m899774020,3,2,3,2,4,2,3,2,4,4,2,4,4,2,3,2,3,2,2,3
m8998524804,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3
m8998437580,2,1,2,3,2,3,3,3,3,4,3,4,2,3,2,3,1,3,3,3
m8998600599,1,1,1,2,2,1,4,4,4,5,5,5,2,1,2,1,1,4,2,3
m8962763372,3,3,2,4,2,3,2,2,3,3,2,2,3,3,2,3,2,2,5,2
m89917904,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
m899449039,5,3,2,5,5,3,4,3,1,2,2,2,2,2,3,4,5,2,4,3
m8965852171,4,2,4,4,3,3,5,1,3,2,2,2,4,2,3,2,2,2,4,2
m8991588253,2,3,5,3,3,2,3,2,2,3,3,3,3,3,3,3,3,3,4,2
m8982865743,2,2,2,2,3,2,3,3,4,3,4,3,4,2,2,3,3,3,4,2
m899472735,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3
m8984927496,2,1,3,3,3,3,4,4,3,4,3,4,2,3,2,3,2,2,3,3
m8994457820,3,3,3,4,3,3,3,4,3,3,4,3,4,3,3,3,4,3,3,4
m89965630,2,2,3,3,3,2,3,1,2,2,2,2,4,3,4,2,2,2,4,2
m8998426988,3,4,4,4,3,2,1,3,4,2,2,1,4,2,2,4,4,2,5,3
m899365532,3,2,2,1,3,2,3,4,5,4,3,3,4,3,3,3,2,4,4,4
m899369834,1,4,2,2,4,2,2,2,5,2,2,1,5,4,2,4,4,2,4,2
m899697582,4,3,4,4,4,2,4,3,3,4,2,2,5,2,4,4,4,2,4,3
m899198700,4,4,2,4,4,2,3,2,2,3,2,2,4,3,3,4,2,2,4,2
m8995394433,2,4,2,2,4,2,2,4,4,3,4,2,3,2,1,4,4,2,4,1
m8998364434,1,3,1,4,4,2,3,2,3,4,2,2,3,2,2,5,3,2,5,2
m8998356316,2,3,2,4,4,2,2,3,2,3,2,2,3,2,3,4,2,2,4,3
m8995893516,1,1,2,2,1,1,1,1,3,1,1,1,2,1,1,2,1,2,1,1
m8965515123,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,4
m8984894308,3,3,3,2,2,2,3,3,3,2,2,3,3,3,2,2,2,2,3,3
m8998433913,2,3,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,4,3
m8994772336,4,3,5,5,4,2,5,1,2,3,2,2,3,1,2,4,2,1,4,3
m899267892,5,5,4,5,4,3,1,2,1,3,2,1,5,1,5,3,5,2,3,4
m8991938903,2,2,3,3,4,2,2,4,3,3,2,2,3,2,3,3,3,2,4,3
m8985130538,1,1,1,1,4,1,4,5,4,5,5,2,4,5,1,5,2,3,3,2
m8988238163,1,3,1,2,3,2,3,3,4,3,3,4,3,3,2,3,2,1,2,4
m8988238245,3,3,2,3,3,3,2,2,2,3,3,3,2,3,3,2,2,2,2,2
m8998242889,3,3,3,5,3,3,4,2,1,4,4,4,3,2,3,4,3,2,4,4
m8964707600,2,4,4,4,3,2,3,2,3,3,1,4,4,3,4,4,3,3,3,3
m8984582995,1,1,1,3,2,1,2,1,2,1,2,1,3,3,3,3,3,2,2,1
m8994724660,1,1,1,1,2,1,3,4,4,4,4,4,3,4,1,2,1,2,2,1
m8998310003,3,2,3,3,3,3,4,4,4,4,4,4,3,4,2,3,2,4,2,4
m8992326400,3,2,3,4,5,1,3,3,3,5,3,3,2,1,2,4,3,1,5,3
m8998737915,3,2,3,4,4,3,4,3,4,5,3,5,1,2,1,1,1,1,5,2
m8988238203,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
m8962890199,2,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3
m899137534,2,2,2,2,2,2,4,4,2,2,3,2,2,2,2,2,2,2,3,2
m8988239944,2,2,1,1,2,3,3,2,3,3,3,2,4,3,3,2,2,1,2,3
m8992157293,4,4,3,4,4,2,2,2,2,4,3,2,4,2,3,4,3,2,4,3
m899081637,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
m8998254534,4,4,3,3,3,3,3,5,3,3,3,4,4,3,4,4,4,4,4,5
m8982807631,2,5,4,5,3,1,2,1,2,3,4,2,5,1,5,5,4,2,5,5
m8992764115,2,2,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3
m899018933,4,4,4,4,4,3,3,2,3,3,2,2,4,3,3,3,4,3,4,2
m89965752,3,3,4,3,3,2,2,2,2,2,2,2,4,2,5,3,5,2,5,5
