rns,rns80,mrt,mrt80,smsa,smsa80,med,iq,kww,year,age,age80,s,s80,expr,expr80,tenure,tenure80,lw,lw80
0,0,0,1,1,1,8,93,35,68,19,31,12,12,0.462000012397766,10.6350002288818,0,2,5.90000009536743,6.64499998092651
0,0,0,1,1,1,14,119,41,66,23,37,16,18,0,11.3669996261597,2,16,5.43800020217896,6.69399976730347
0,0,0,1,1,1,14,108,46,67,20,33,14,14,0.423000007867813,11.0349998474121,1,9,5.71000003814697,6.71500015258789
0,0,0,1,1,1,12,96,32,66,18,32,12,12,0.333000004291534,13.08899974823,1,7,5.48099994659424,6.47700023651123
0,0,1,1,1,1,6,74,27,73,26,34,9,11,9.01299953460693,14.4020004272461,3,5,5.92700004577637,6.33199977874756
0,0,0,0,1,1,8,91,24,66,16,30,9,10,0.333000004291534,13.4259996414185,1,0,4.80399990081787,6.39699983596802
0,0,1,1,1,1,8,114,50,73,30,38,18,18,1.20500004291534,7.55499982833862,6,14,6.51200008392334,6.98600006103516
0,0,1,1,0,0,14,111,37,67,23,36,15,15,1.25,12.6199998855591,1,1,5.80800008773804,7.05100011825562
0,0,1,1,1,1,12,95,44,66,22,36,12,12,2.04800009727478,15.8719997406006,2,16,5.73699998855591,6.90799999237061
0,0,1,1,0,0,13,132,44,73,30,38,18,18,1.37199997901917,8.31900024414062,5,13,6.38199996948242,6.83500003814697
0,0,1,1,0,0,16,102,45,69,22,33,14,14,0,9.29800033569336,1,11,5.74300003051758,6.82600021362305
0,0,0,0,0,0,12,125,40,70,20,30,14,15,0.365000009536743,4.11299991607666,1,3,6.21500015258789,6.80200004577637
0,0,0,1,1,1,10,119,24,73,20,28,16,16,0.689999997615814,7.46999979019165,0,2,5.25699996948242,7.18400001525879
0,0,1,1,1,1,12,118,47,73,26,34,16,16,2.38899993896484,9.3120002746582,0,9,6.61999988555908,7.49100017547607
0,0,1,1,1,1,6,105,37,66,21,35,10,10,4.37799978256226,17.0389995574951,2,2,5.71400022506714,6.86499977111816
0,0,0,1,1,1,12,109,39,66,22,36,12,15,0,5.90000009536743,2,9,5.59499979019165,7.21500015258789
0,0,1,1,1,1,10,72,36,71,29,38,11,11,8.78699970245361,19.2310009002686,1,10,5.80800008773804,6.74499988555908
0,0,0,1,1,1,12,105,29,73,21,29,12,14,0,3.92600011825562,0,7,5.90000009536743,6.72200012207031
0,0,0,1,1,1,8,101,34,67,18,31,11,12,0.377999991178513,12.585000038147,1,7,5.2979998588562,6.15500020980835
0,0,0,1,1,1,12,123,37,70,21,31,12,14,1.78600001335144,8.9399995803833,3,1,5.78399991989136,7.15100002288818
0,0,1,1,1,1,12,113,49,70,26,36,16,16,0.469999998807907,10.3610000610352,7,4,6.22499990463257,7.38700008392334
0,0,0,1,1,1,10,95,36,66,24,38,12,12,0.294999986886978,13.7080001831055,1,3,5.74300003051758,6.77199983596802
0,0,1,1,0,1,12,145,50,71,29,38,16,16,8.34099960327148,17.257999420166,4,8,6.86899995803833,7.66699981689453
0,0,0,1,1,1,11,114,35,69,21,32,16,16,1,11.6770000457764,1,7,6.12200021743774,6.95900011062622
0,0,0,1,1,1,16,124,32,73,21,29,16,16,1.44700002670288,8.38700008392334,2,9,6.23999977111816,7.37900018692017
0,0,1,1,1,1,12,93,40,66,21,35,12,13,2.37800002098083,15.5220003128052,2,5,5.15299987792969,7.07999992370605
1,1,1,1,1,1,8,115,39,73,27,35,18,18,4.44999980926514,11.3640003204346,0,1,6.56899976730347,6.68499994277954
0,0,1,1,1,1,13,125,41,73,26,34,17,17,2.35800004005432,9.37600040435791,6,4,6.35799980163574,7.25600004196167
